time=000 in=0000 out=0111111111111111
time=020 in=1000 out=1011111111111111
time=040 in=0100 out=1101111111111111
time=060 in=1100 out=1110111111111111
time=080 in=0010 out=1111011111111111
time=100 in=1010 out=1111101111111111
time=120 in=0110 out=1111110111111111
time=140 in=1110 out=1111111011111111
time=160 in=0001 out=1111111101111111
time=180 in=1001 out=1111111110111111
time=200 in=0101 out=1111111111011111
time=220 in=1101 out=1111111111101111
time=240 in=0011 out=1111111111110111
time=260 in=1011 out=1111111111111011
time=280 in=0111 out=1111111111111101
time=300 in=1111 out=1111111111111110
