time=0 A=x B=x D=x S=x C=x
time=10 A=1 B=1 D=0 S=0 C=1
time=20 A=0 B=1 D=0 S=1 C=0
time=30 A=1 B=1 D=0 S=0 C=1
time=40 A=0 B=1 D=0 S=1 C=0
time=50 A=1 B=0 D=0 S=1 C=0
time=70 A=0 B=0 D=0 S=0 C=0
time=80 A=0 B=1 D=0 S=1 C=0
time=90 A=1 B=0 D=1 S=0 C=1
time=100 A=0 B=1 D=1 S=0 C=1
time=110 A=1 B=1 D=1 S=1 C=1
time=120 A=1 B=0 D=0 S=1 C=0
time=140 A=1 B=1 D=1 S=1 C=1
time=150 A=0 B=0 D=0 S=0 C=0
time=160 A=0 B=1 D=0 S=1 C=0
time=170 A=1 B=0 D=1 S=0 C=1
time=180 A=1 B=1 D=0 S=0 C=1
time=190 A=0 B=1 D=1 S=0 C=1
time=200 A=1 B=1 D=0 S=0 C=1
time=210 A=0 B=0 D=1 S=1 C=0
time=230 A=1 B=0 D=0 S=1 C=0
time=240 A=0 B=1 D=0 S=1 C=0
time=250 A=0 B=0 D=0 S=0 C=0
time=260 A=0 B=1 D=1 S=0 C=1
time=270 A=0 B=0 D=1 S=1 C=0
time=280 A=1 B=0 D=0 S=1 C=0
time=290 A=0 B=0 D=0 S=0 C=0
time=320 A=1 B=1 D=1 S=1 C=1
time=330 A=0 B=1 D=0 S=1 C=0
time=340 A=1 B=1 D=0 S=0 C=1
time=350 A=0 B=1 D=0 S=1 C=0
time=360 A=0 B=0 D=0 S=0 C=0
time=370 A=1 B=1 D=1 S=1 C=1
time=380 A=1 B=1 D=0 S=0 C=1
time=390 A=0 B=0 D=1 S=1 C=0
time=400 A=1 B=1 D=0 S=0 C=1
time=410 A=1 B=1 D=1 S=1 C=1
time=420 A=0 B=0 D=1 S=1 C=0
time=430 A=1 B=1 D=0 S=0 C=1
time=440 A=0 B=0 D=1 S=1 C=0
time=450 A=1 B=1 D=0 S=0 C=1
time=460 A=1 B=1 D=1 S=1 C=1
time=480 A=0 B=1 D=0 S=1 C=0
time=490 A=0 B=0 D=1 S=1 C=0
time=510 A=0 B=1 D=1 S=0 C=1
time=520 A=1 B=0 D=1 S=0 C=1
time=530 A=0 B=0 D=0 S=0 C=0
time=540 A=1 B=1 D=1 S=1 C=1
time=550 A=0 B=1 D=1 S=0 C=1
time=560 A=1 B=1 D=0 S=0 C=1
time=570 A=0 B=1 D=0 S=1 C=0
time=580 A=1 B=1 D=1 S=1 C=1
time=590 A=1 B=0 D=0 S=1 C=0
time=610 A=0 B=0 D=0 S=0 C=0
time=620 A=1 B=1 D=1 S=1 C=1
time=630 A=1 B=1 D=0 S=0 C=1
time=650 A=1 B=0 D=1 S=0 C=1
time=660 A=1 B=0 D=0 S=1 C=0
time=670 A=0 B=1 D=1 S=0 C=1
time=680 A=0 B=0 D=0 S=0 C=0
time=690 A=0 B=1 D=0 S=1 C=0
time=700 A=1 B=1 D=0 S=0 C=1
time=720 A=0 B=0 D=1 S=1 C=0
time=730 A=1 B=1 D=0 S=0 C=1
time=740 A=1 B=1 D=1 S=1 C=1
time=750 A=0 B=1 D=1 S=0 C=1
time=760 A=1 B=0 D=0 S=1 C=0
time=780 A=0 B=1 D=0 S=1 C=0
time=790 A=1 B=1 D=1 S=1 C=1
time=800 A=1 B=1 D=0 S=0 C=1
time=810 A=1 B=0 D=1 S=0 C=1
time=830 A=1 B=0 D=0 S=1 C=0
time=840 A=1 B=1 D=1 S=1 C=1
time=850 A=0 B=0 D=1 S=1 C=0
time=860 A=1 B=0 D=0 S=1 C=0
time=870 A=0 B=0 D=1 S=1 C=0
time=880 A=0 B=1 D=1 S=0 C=1
time=890 A=1 B=1 D=1 S=1 C=1
time=900 A=1 B=0 D=0 S=1 C=0
time=910 A=0 B=0 D=1 S=1 C=0
time=920 A=0 B=1 D=1 S=0 C=1
time=930 A=1 B=1 D=1 S=1 C=1
time=940 A=0 B=0 D=1 S=1 C=0
time=950 A=0 B=1 D=1 S=0 C=1
time=960 A=1 B=1 D=0 S=0 C=1
time=970 A=0 B=0 D=0 S=0 C=0
time=990 A=0 B=0 D=1 S=1 C=0
time=1000 A=1 B=0 D=1 S=0 C=1
