time=000 A=xxxx B=xxxx, C=x | D=xxxxx
time=005 A=1011 B=1101, C=1 | D=11001
time=015 A=1010 B=0101, C=0 | D=01111
time=025 A=1011 B=1101, C=0 | D=11000
time=035 A=1010 B=0101, C=0 | D=01111
time=045 A=0001 B=1000, C=1 | D=01010
time=065 A=0000 B=0000, C=1 | D=00001
time=075 A=1010 B=0101, C=1 | D=10000
time=085 A=1101 B=1011, C=0 | D=11000
time=095 A=1110 B=0111, C=0 | D=10101
time=105 A=0111 B=1110, C=1 | D=10110
time=115 A=1001 B=1001, C=0 | D=10010
time=125 A=0001 B=1000, C=1 | D=01010
time=135 A=1111 B=1111, C=0 | D=11110
time=145 A=1000 B=0001, C=0 | D=01001
time=155 A=0010 B=0100, C=1 | D=00111
time=165 A=1101 B=1011, C=0 | D=11000
time=175 A=0011 B=1100, C=1 | D=10000
time=185 A=0110 B=0110, C=1 | D=01101
time=195 A=1011 B=1101, C=1 | D=11001
time=205 A=0100 B=0010, C=1 | D=00111
time=225 A=1001 B=1001, C=0 | D=10010
time=235 A=0010 B=0100, C=1 | D=00111
time=245 A=1000 B=0001, C=0 | D=01001
time=255 A=1110 B=0111, C=0 | D=10101
time=265 A=0100 B=0010, C=1 | D=00111
time=275 A=0001 B=1000, C=1 | D=01010
time=285 A=0000 B=0000, C=1 | D=00001
time=305 A=1000 B=0001, C=0 | D=01001
time=315 A=0111 B=1110, C=1 | D=10110
time=325 A=0010 B=0100, C=1 | D=00111
time=335 A=1011 B=1101, C=0 | D=11000
time=345 A=1010 B=0101, C=0 | D=01111
time=355 A=0000 B=0000, C=1 | D=00001
time=365 A=0111 B=1110, C=1 | D=10110
time=375 A=0011 B=1100, C=1 | D=10000
time=385 A=0100 B=0010, C=1 | D=00111
time=395 A=0011 B=1100, C=1 | D=10000
time=405 A=1111 B=1111, C=0 | D=11110
time=415 A=0100 B=0010, C=1 | D=00111
time=425 A=0011 B=1100, C=1 | D=10000
time=435 A=1100 B=0011, C=0 | D=01111
time=445 A=0011 B=1100, C=1 | D=10000
time=455 A=1111 B=1111, C=0 | D=11110
time=465 A=0111 B=1110, C=1 | D=10110
time=475 A=1010 B=0101, C=0 | D=01111
time=485 A=1100 B=0011, C=0 | D=01111
time=505 A=0110 B=0110, C=1 | D=01101
time=515 A=0101 B=1010, C=1 | D=10000
time=525 A=0000 B=0000, C=1 | D=00001
time=535 A=0111 B=1110, C=1 | D=10110
time=545 A=1110 B=0111, C=0 | D=10101
time=555 A=0011 B=1100, C=1 | D=10000
time=565 A=1010 B=0101, C=0 | D=01111
time=575 A=0111 B=1110, C=1 | D=10110
time=585 A=1001 B=1001, C=0 | D=10010
time=605 A=0000 B=0000, C=1 | D=00001
time=615 A=1111 B=1111, C=0 | D=11110
time=625 A=1011 B=1101, C=0 | D=11000
time=635 A=0011 B=1100, C=1 | D=10000
time=645 A=1101 B=1011, C=0 | D=11000
time=655 A=1001 B=1001, C=0 | D=10010
time=665 A=0110 B=0110, C=1 | D=01101
time=675 A=1000 B=0001, C=0 | D=01001
time=685 A=1010 B=0101, C=0 | D=01111
time=695 A=1011 B=1101, C=0 | D=11000
time=705 A=0011 B=1100, C=1 | D=10000
time=715 A=1100 B=0011, C=0 | D=01111
time=725 A=0011 B=1100, C=1 | D=10000
time=735 A=0111 B=1110, C=1 | D=10110
time=745 A=0110 B=0110, C=1 | D=01101
time=755 A=0001 B=1000, C=1 | D=01010
time=765 A=1001 B=1001, C=0 | D=10010
time=775 A=1010 B=0101, C=0 | D=01111
time=785 A=0111 B=1110, C=1 | D=10110
time=795 A=0011 B=1100, C=1 | D=10000
time=805 A=0101 B=1010, C=1 | D=10000
time=825 A=0001 B=1000, C=1 | D=01010
time=835 A=1111 B=1111, C=0 | D=11110
time=845 A=0100 B=0010, C=1 | D=00111
time=855 A=1001 B=1001, C=0 | D=10010
time=865 A=0100 B=0010, C=1 | D=00111
time=875 A=0110 B=0110, C=1 | D=01101
time=885 A=0111 B=1110, C=1 | D=10110
time=895 A=1001 B=1001, C=0 | D=10010
time=905 A=1100 B=0011, C=0 | D=01111
time=915 A=1110 B=0111, C=0 | D=10101
time=925 A=1111 B=1111, C=0 | D=11110
time=935 A=1100 B=0011, C=0 | D=01111
time=945 A=1110 B=0111, C=0 | D=10101
time=955 A=0011 B=1100, C=1 | D=10000
time=965 A=1000 B=0001, C=0 | D=01001
time=975 A=0000 B=0000, C=1 | D=00001
time=985 A=0100 B=0010, C=1 | D=00111
time=995 A=0101 B=1010, C=1 | D=10000
